timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,message_type,mmsi,call_sign,imo_number,speed__knots_,heading__deg_,course_over_ground__deg_,rate_of_turn,ship_type,destination,naviagation_status,dimension_bow,dimension_stern,dimension_port,dimension_starboard,draft,source_type,received_by_EDC,received_by_receiver,receiver,signal_strength,signal_noise_ratio,latitude,longitude,geometry
2024-01-14 21:58:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,336,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:58:57Z,,,-98,21,38.61992,-82.85971,POINT Z (-82.85971 38.61992 0)
2024-01-14 21:59:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,92,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:07Z,,,-93,25,38.619918,-82.859709,POINT Z (-82.859709 38.619918 0)
2024-01-14 21:59:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,255,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:18Z,,,-98,21,38.619916,-82.85971,POINT Z (-82.85971 38.619916 0)
2024-01-14 21:59:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,299,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:28Z,,,-93,25,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 21:59:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,302,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:37Z,,,-98,21,38.619915,-82.859714,POINT Z (-82.859714 38.619915 0)
2024-01-14 21:59:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,311,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:47Z,,,-93,24,38.619915,-82.859714,POINT Z (-82.859714 38.619915 0)
2024-01-14 21:59:57+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,340,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T21:59:57Z,,,-98,21,38.619915,-82.859712,POINT Z (-82.859712 38.619915 0)
2024-01-14 22:00:07+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,6,331,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T22:00:07Z,,,-93,25,38.619915,-82.859709,POINT Z (-82.859709 38.619915 0)
2024-01-14 22:00:18+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,10,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T22:00:18Z,,,-97,22,38.619916,-82.859709,POINT Z (-82.859709 38.619916 0)
2024-01-14 22:00:28+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,111,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T22:00:28Z,,,-94,24,38.619918,-82.859707,POINT Z (-82.859707 38.619918 0)
2024-01-14 22:00:37+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,210,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T22:00:37Z,,,-97,22,38.61992,-82.859709,POINT Z (-82.859709 38.61992 0)
2024-01-14 22:00:47+00:00,,,clampToGround,-1,0,1,,,1,368133920,WDL4693,0,0,5,309,0,Reserved (Local Use),USBUS>USBEP,Reserved for future use,197,22,17,16,3.4,0,2024-01-14T22:00:47Z,,,-93,25,38.61992,-82.85971,POINT Z (-82.85971 38.61992 0)
